id,label,subject,message
3822,spam,Limited Offer: Claim Your Free iPhone,Your account will be suspended unless you verify your details immediately. Visit our secure link now.
6654,spam,Congratulations! You've Won a Gift Voucher,Get access to premium content for free. Just confirm your email to activate the offer.
7626,ham,Project Update and Next Steps,Let’s plan the presentation slides together this weekend.
11697,ham,Weekly Report Submission Reminder,Don’t forget to bring the printed copies for submission.
8254,ham,Meeting Reminder: Project Discussion,"Can you confirm your availability for tomorrow’s meeting? Yaar, meeting ka link bhej de."
697,spam,Your Loan Application Approved,Final notice: Your subscription will expire soon. Renew today and save 50%.
1874,spam,Congratulations! You've Won a Gift Voucher,Your account will be suspended unless you verify your details immediately. Visit our secure link now.
10920,ham,Re: Notes from Today's Lecture,"Can you confirm your availability for tomorrow’s meeting? Offer bahut mast lag rahi hai, check kar jaldi."
8237,ham,Team Lunch on Friday,Can you confirm your availability for tomorrow’s meeting?
9676,ham,Follow-up on Previous Email,Let’s plan the presentation slides together this weekend.
6855,spam,Claim Your $500 Reward Now,You have been chosen to receive an exclusive credit card with zero annual fees. Apply now.
13112,ham,Re: Notes from Today's Lecture,Just checking if you received the document I sent yesterday.
3997,spam,Special Offer Just for You,Final notice: Your subscription will expire soon. Renew today and save 50%.
7900,ham,Invitation: College Tech Fest,"Don’t forget to bring the printed copies for submission. Bhai, check kar ye mail important hai."
4086,spam,Claim Your $500 Reward Now,Special insurance plan for you – get huge discounts by signing up today.
14679,ham,Meeting Reminder: Project Discussion,Let’s plan the presentation slides together this weekend.
2764,spam,Urgent: Update Your Payment Information,Get access to premium content for free. Just confirm your email to activate the offer.
5130,spam,Special Offer Just for You,Your Amazon gift card is ready. Claim it before it expires.
4781,spam,Congratulations! You've Won a Gift Voucher,Final notice: Your subscription will expire soon. Renew today and save 50%.
4713,spam,Special Offer Just for You,Congratulations! You have been selected for a special offer. Click the link below to claim your reward.
3276,spam,Your Loan Application Approved,Get access to premium content for free. Just confirm your email to activate the offer.
10416,ham,Schedule for Tomorrow's Meeting,"Hey, please find attached the updated report for your review."
14731,ham,Regarding Your Assignment,I’ve shared the notes from today’s lecture in the drive link below.
9986,ham,Invoice Attached for Your Review,Please review the attached invoice and confirm once done.
8018,ham,Meeting Reminder: Project Discussion,It was great seeing you at the seminar. Let’s catch up soon.
3878,spam,Claim Your $500 Reward Now,You have been chosen to receive an exclusive credit card with zero annual fees. Apply now.
1504,spam,Claim Your $500 Reward Now,Hurry! Limited-time offer on our premium plans. Avail up to 70% discount before midnight.
13066,ham,Weekly Report Submission Reminder,Can you confirm your availability for tomorrow’s meeting?
14862,ham,Project Update and Next Steps,Just checking if you received the document I sent yesterday.
13915,ham,Weekly Report Submission Reminder,"Hey, please find attached the updated report for your review."
9107,ham,Meeting Reminder: Project Discussion,Just checking if you received the document I sent yesterday.
9435,ham,Meeting Reminder: Project Discussion,Please review the attached invoice and confirm once done.
11484,ham,Meeting Reminder: Project Discussion,"Hey, please find attached the updated report for your review."
3713,spam,Exclusive Discount on Electronics,You’ve won a lucky draw! Provide your contact details to claim the prize.
11797,ham,Meeting Reminder: Project Discussion,"Hey, please find attached the updated report for your review."
12055,ham,Re: Notes from Today's Lecture,Don’t forget to bring the printed copies for submission.
2442,spam,Exclusive Discount on Electronics,Congratulations! You have been selected for a special offer. Click the link below to claim your reward.
10345,ham,Invoice Attached for Your Review,It was great seeing you at the seminar. Let’s catch up soon.
5689,spam,Win a Trip to Maldives - Limited Seats,"You’ve won a lucky draw! Provide your contact details to claim the prize. Bhai, check kar ye mail important hai."
4341,spam,Exclusive Discount on Electronics,You’ve won a lucky draw! Provide your contact details to claim the prize.
10379,ham,Project Update and Next Steps,Just checking if you received the document I sent yesterday.
2705,spam,Claim Your $500 Reward Now,Your Amazon gift card is ready. Claim it before it expires.
10963,ham,Meeting Reminder: Project Discussion,"Hey, please find attached the updated report for your review."
7870,ham,Team Lunch on Friday,Can you confirm your availability for tomorrow’s meeting?
13641,ham,Regarding Your Assignment,I’ve shared the notes from today’s lecture in the drive link below.
4192,spam,Your Loan Application Approved,Your Amazon gift card is ready. Claim it before it expires.
10563,ham,Re: Notes from Today's Lecture,I’ve shared the notes from today’s lecture in the drive link below.
9995,ham,Team Lunch on Friday,Just checking if you received the document I sent yesterday.
12685,ham,Weekly Report Submission Reminder,Thanks for helping with the project submission last week.
9363,ham,Meeting Reminder: Project Discussion,"Hey, please find attached the updated report for your review."
